,loc,drug
0,https://www.goodrx.com/dostarlimab,dostarlimab
1,https://www.goodrx.com/flu-shot,flu-shot
2,https://www.goodrx.com/flu-vaccine,flu-vaccine
3,https://www.goodrx.com/midostaurin,midostaurin
4,https://www.goodrx.com/piflufolastat-f-18,piflufolastat-f-18
5,https://www.goodrx.com/tdap,tdap
6,https://www.goodrx.com/valbenazine,valbenazine
7,https://www.goodrx.com/a-hydrocort,a-hydrocort
8,https://www.goodrx.com/abacavir,abacavir
9,https://www.goodrx.com/abacavir-lamivudine,abacavir-lamivudine
10,https://www.goodrx.com/abacavir-lamivudine-zidovudine,abacavir-lamivudine-zidovudine
11,https://www.goodrx.com/abaloparatide,abaloparatide
12,https://www.goodrx.com/abametapir,abametapir
13,https://www.goodrx.com/abatacept,abatacept
14,https://www.goodrx.com/abbott-freestyle,abbott-freestyle
15,https://www.goodrx.com/abecma,abecma
16,https://www.goodrx.com/abelcet,abelcet
17,https://www.goodrx.com/abemaciclib,abemaciclib
18,https://www.goodrx.com/abilify,abilify
19,https://www.goodrx.com/abilify-maintena,abilify-maintena
20,https://www.goodrx.com/abilify-mycite,abilify-mycite
21,https://www.goodrx.com/abiraterone,abiraterone
22,https://www.goodrx.com/abobotulinuma,abobotulinuma
23,https://www.goodrx.com/abraxane,abraxane
24,https://www.goodrx.com/abreva,abreva
25,https://www.goodrx.com/absorica,absorica
26,https://www.goodrx.com/absorica-ld,absorica-ld
27,https://www.goodrx.com/abstral,abstral
28,https://www.goodrx.com/acamprosate,acamprosate
29,https://www.goodrx.com/acanya,acanya
30,https://www.goodrx.com/acarbose,acarbose
31,https://www.goodrx.com/accolate,accolate
32,https://www.goodrx.com/accrufer,accrufer
33,https://www.goodrx.com/accu-chek,accu-chek
34,https://www.goodrx.com/accuneb,accuneb
35,https://www.goodrx.com/accupril,accupril
36,https://www.goodrx.com/accuretic,accuretic
37,https://www.goodrx.com/accutane,accutane
38,https://www.goodrx.com/acebutolol,acebutolol
39,https://www.goodrx.com/aceon,aceon
40,https://www.goodrx.com/acephen,acephen
41,https://www.goodrx.com/acepromazine,acepromazine
42,https://www.goodrx.com/acepromazine-promace,acepromazine-promace
43,https://www.goodrx.com/acetadote,acetadote
44,https://www.goodrx.com/acetaminophen,acetaminophen
45,https://www.goodrx.com/acetaminophen-dextromethorphan-triprolidine,acetaminophen-dextromethorphan-triprolidine
46,https://www.goodrx.com/acetaminophen-and-propoxyphene-hydrochloride,acetaminophen-and-propoxyphene-hydrochloride
47,https://www.goodrx.com/acetaminophen-and-propoxyphene-napsylate,acetaminophen-and-propoxyphene-napsylate
48,https://www.goodrx.com/acetaminophen-arthritis-pain,acetaminophen-arthritis-pain
49,https://www.goodrx.com/acetaminophen-extra-strength,acetaminophen-extra-strength
50,https://www.goodrx.com/acetaminophen-pm,acetaminophen-pm
51,https://www.goodrx.com/acetaminophen-aspirin-caffeine,acetaminophen-aspirin-caffeine
52,https://www.goodrx.com/acetaminophen-caffeine-dihydrocodeine,acetaminophen-caffeine-dihydrocodeine
53,https://www.goodrx.com/acetaminophen-chlorpheniramine-dextromethorphan-phenylephrine,acetaminophen-chlorpheniramine-dextromethorphan-phenylephrine
54,https://www.goodrx.com/acetaminophen-codeine,acetaminophen-codeine
55,https://www.goodrx.com/acetaminophen-dextromethorphan-phenylephrine,acetaminophen-dextromethorphan-phenylephrine
56,https://www.goodrx.com/acetaminophen-phenylephrine,acetaminophen-phenylephrine
57,https://www.goodrx.com/acetaminophen-phenylephrine-dextromethorphan-guaifenesin,acetaminophen-phenylephrine-dextromethorphan-guaifenesin
58,https://www.goodrx.com/acetasol,acetasol
59,https://www.goodrx.com/acetasol-hc,acetasol-hc
60,https://www.goodrx.com/acetazolamide,acetazolamide
61,https://www.goodrx.com/acetazolamide-er,acetazolamide-er
62,https://www.goodrx.com/acetic-acid,acetic-acid
63,https://www.goodrx.com/acetohydroxamic-acid,acetohydroxamic-acid
64,https://www.goodrx.com/acetylcysteine,acetylcysteine
65,https://www.goodrx.com/aciphex,aciphex
66,https://www.goodrx.com/acitretin,acitretin
67,https://www.goodrx.com/aclaro,aclaro
